ProductID,ProductName,ShadowOf,ProductType,AggregateQty,SitePrice,AverageCost,QtySold30,QtySold60,QtySold90,QtySoldYTD,LocationNotes,PURCHASEGROUP,DEPARTMENT,BASEITEM,DEPOP,BUILDITEM,BRAND,MODELNUMBER,IDENTIFIER,ItemNotes,PORTS,PARTS,BOXNOTES,BUILDERRAM,CACHE,INTERFACE,TRANSFERRATE,MEMORYSIZE,CPUBRAND,SOCKET,MAXCPUS,RAMRANK,DIMMSLOTS,DIMMSPERCHANNEL,VARIATIONS,PRICINGNOTES,CORES,FORM,FSB,HYPERTHREADING,INTRAY,MEMORYCHANNELS,MICROCENTERSKU,ONBOARDGPU,SCREENSIZE,PURCHASINGNOTES,RAMTYPE,RANK,REFRESHRATE,SCALABILITY,SCRAPVALUE,WATTS,DESTINATION,SPEED,InventoryLowStockNotice,InventoryHighStockNotice,OnOrder
CTK 309489144,HP Infiniband 10/40GB 656089-001 HIGH PROFILE 0 0F 2 SFP'S 0 OF 2 SFP'S 10/40 GBPS PCI/NIC CARD,,NIC Card,0,29.99,0,0,0,0,0,CP-02-26,,Card,TRUE,FALSE,FALSE,HP,,656089-001,,0 OF 2 SFP'S,,,,,,10/40 GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99999,0
CTK 309499344,INTEL X520-SR2 E10G42BFSR HIGH PROFILE 2 OF 2 SFP'S 10GBPS PCI/NIC CARD,,NIC Card,0,50,0,0,0,0,0,WS BOX 44,,Card,TRUE,FALSE,FALSE,INTEL,,E10G42BFSR,,2 OF 2 SFP'S,,,,,,10GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,99999,0
CTK 309509644,HP LPE12002 697890-001 LOW PROFILE 0 OF 2 SFP'S 0 OF 2 SFP'S 0 OF 2 SFP'S 8GBPS PCI/NIC CARD,,NIC Card,4,40,0,0,0,0,0,,LPE12002,Card,TRUE,FALSE,FALSE,HP,,697890-001,,0 OF 2 SFP'S,,,,,,8GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309515944,CHELSIO T420-CR 110-1120-40 HIGH PROFILE 0 OF 2 SFP'S 0 OF 2 SFP'S 0 OF 2 SFP'S 10GBPS PCI/NIC CARD,,NIC Card,0,70,0,0,0,0,1,CP-04-03,,Card,TRUE,FALSE,FALSE,CHELSIO,T420-CR,110-1120-40,,0 OF 2 SFP'S,,,,,,10GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309527544,DELL LPE12000E CN6YJ LOW PROFILE 0 OF 1 SFP'S 0 OF 1 SFP'S 0 OF 1 SFP'S 8GBPS PCI/NIC CARD,,NIC Card,7,15,0,0,0,0,0,WS Box 07,LPE12000E,Card,TRUE,FALSE,FALSE,DELL,,CN6YJ,,0 OF 1 SFP'S,,,,,,8GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0
CTK 309537644,"CHELSIO T420-CR 110-1120-40 HIGH PROFILE 0 OF 2 SFP'S 0 OF 2 SFP'S 0 OF 2 SFP'S, COPPER HEATSINK 10GBPS PCI/NIC CARD",,NIC Card,0,49.99,0,0,0,0,0,,Heatsink,Card,TRUE,FALSE,FALSE,CHELSIO,T420-CR,110-1120-40,,"0 OF 2 SFP'S, COPPER HEATSINK",,,,,,10GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309548844,ATTO FC-81EN HIGH PROFILE 1 OF 1 SFP'S 1 OF 1 SFP'S 1 OF 1 SFP'S 8GBPS PCI/NIC CARD,,NIC Card,0,150,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,ATTO,,FC-81EN,,1 OF 1 SFP'S,,,,,,8GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309576144,IBM SAS9207-8E 46C9011 LOW PROFILE DUAL EXTERNAL SAS 6GBPS CONTROLLER CARD,,Raid Controller,0,20,0,0,0,0,0,,SAS 6,Card,TRUE,FALSE,FALSE,IBM,,46C9011,,,,,,,,6GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309587144,DELL AMD RADEON R7 250 9C8C0 HIGH PROFILE DVI DISPLAY PORT 2GB GDDR3 GRAPHIC CARD,,Graphics Card,0,40,6.79,0,2,2,11,BOX 047,,Card,TRUE,FALSE,FALSE,DELL,,9C8C0,,"1X DISPLAY, 1X DVI",,,,,,,2GB GDDR3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0
CTK 309597844,QLOGIC QLE8142 QLE8142-SR-E LOW PROFILE 0 OF 2 SFP'S 0 OF 2 SFP'S 10GBPS PCI/NIC CARD,,NIC Card,4,30,12.5,0,0,0,0,WS BOX 60,,Card,TRUE,FALSE,FALSE,Q-Logic,QLE8142,QLE8142-SR-E,,0 OF 2 SFP'S,,,,,,10GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0
CTK 309608844,SYSKONNECT SK-9E22 631-0323 HIGH PROFILE DUAL PORT RJ-45 1GBPS NIC CARD,,NIC Card,0,20,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,SYSKONNECT,SK-9E22,631-0323,,,,,,,,1GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309619044,PNY QUADRO K4200 VCQK4200-T DVI DUAL DISPLAY PORT 4GB GRAPHIC CARD,,Graphics Card,0,200,62.61,0,0,0,0,,K4200,Card,TRUE,FALSE,FALSE,PNY,QUADRO K4200,VCQK4200-T,,,,,,,,,4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309629244,SAPPHIRE R7 240 299-1E280-000SA HIGH PROFILE DUAL HDMI 2GB GRAPHIC CARD,,Graphics Card,0,50,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,SAPPHIRE,R7 240,299-1E280-000SA,,,,,,,,,2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309649644,RIVERBED 410-00301-02 X2 FC PORTS 10GBPS NIC CARD,,NIC Card,0,300,60,0,0,0,0,CP-02-31(0),,Card,TRUE,FALSE,FALSE,RIVERBED,,410-00301-02,,,,,,,,10GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309659744,AMD FIREPRO W4100 102C7550100 LOW PROFILE QUAD-MINI DISPLAY PORTS 2GB GDDR5 GRAPHIC CARD,,Graphics Card,0,75,0,0,0,0,0,,755,Card,TRUE,FALSE,FALSE,AMD,,102C7550100,,,,,,,,,2GB GDDR5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309669944,INTEL X710-DA2 X710DA2 HIGH PROFILE 0 OF 2 SFP'S 0 OF 2 SFP'S 0 OF 2 SFP'S 10GBPS PCI/NIC CARD,,NIC Card,0,150,0,0,0,0,0,"WS BOX 41, BOX 15",,Card,TRUE,FALSE,FALSE,INTEL,X710-DA2,X710DA2,,0 OF 2 SFP'S,,,,,,10GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 3096710744,DELL FIREPRO S7000 2M5RM DISPLAY PORT 4GB GRAPHIC CARD,,Graphics Card,0,100,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,DELL,,2M5RM,,,,,,,,,4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 3096810944,ARECA 71-1680D1-IX21 X1 EXTERNAL SAS X4 INTERNAL SAS DUAL PORT RJ-45 512MB RAID CARD,,Raid Card,1,300,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,ARECA,,71-1680D1-IX21,,,,,,512MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309695644,MELLANOX CX314A MCX314A-BCBT LOW PROFILE 0 OF 2 SFP'S 0 OF 2 SFP'S 40GBPS NIC CARD,,NIC Card,0,100,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,MELLANOX,CX314A,MCX314A-BCBT,,0 OF 2 SFP'S,,,,,,40GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309705744,HP GEFORCE 520 655083-001 LOW PROFILE DVI HDMI 1GB GRAPHIC CARD,,Graphics Card,0,30,0,0,0,0,0,,550,Card,TRUE,FALSE,FALSE,HP,,655083-001,,,,,,,,,1GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309715944,IBM M1115 46C8928 W/O BRACKET DUAL INTERNAL SAS RAID CARD,,Raid Card,0,25,0,0,0,0,0,,M1115,Card,TRUE,FALSE,FALSE,IBM,,46C8928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309726344,HP SMART ARRAY P440AR 749796-001 DUAL INTERNAL SAS 12GBPS BUILDS CONTROLLER CARD,,Raid Controller,156,75,1.28,1,6,19,64,BOX 35,,Card,TRUE,FALSE,FALSE,HP,,749796-001,,,,,,,,12GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,18,0
CTK 309736644,IBM 00E0660 3GBPS CONTROLLER CARD,,Raid Controller,0,90,0,0,0,0,0,,660,Card,TRUE,FALSE,FALSE,IBM,,00E0660,,,,,,,,3GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309748944,INTEL E91267-203 HIGH PROFILE X6 INTERNAL SAS PORTS 0 OF 2 SFP'S 6GBPS PCI/NIC CARD,,NIC Card,0,40,0,0,0,0,1,CP-02-14,,Card,TRUE,FALSE,FALSE,INTEL,,E91267-203,,0 OF 2 SFP'S,,,,,,6GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
CTK 309759144,ORACLE SAS9211-8I 7047852 NO BRACKET DUAL INTERNAL SAS 6GBPS CONTROLLER CARD,,Raid Controller,0,15,0.01,0,0,0,0,ws box 24,,Card,TRUE,FALSE,FALSE,ORACLE,SAS9211-8I,7047852,,,,,,,,6GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
CTK 309765744,NETAPP QLE2562-T-NAP 111-00480 HIGH PROFILE 0 OF 2 SFP'S 0 OF 2 SFP'S 0 OF 2 SFP'S 8GBPS PCI/NIC CARD,,NIC Card,0,40,0,0,0,0,0,,QLE2562,Card,TRUE,FALSE,FALSE,NETAPP,,111-00480,,0 OF 2 SFP'S,,,,,,8GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309786944,DELL FIREPRO V7900 CJ9FJ QUAD DISPLAY PORT 2GB GDDR5 GRAPHIC CARD,,Graphics Card,0,65,0,0,0,0,13,CP-02-12(0),V7900,Card,TRUE,FALSE,FALSE,DELL,,CJ9FJ,,,,,,,,,2GB GDDR5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
CTK 309797944,GIGABYTE GEFORCE GT 520 GV-N520D3-1GI HIGH PROFILE VGA HDMI DVI 1GB BUILDS GRAPHIC CARD,,Graphics Card,0,0,0,0,0,0,0,,GT 520,Card,TRUE,FALSE,FALSE,GIGABYTE,GEFORCE GT 520,GV-N520D3-1GI,,,,,,,,,1GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309808344,EVGA GEFORCE GT 520 01G-P3-1526-KR DUAL DVI MINI HDMI 1GB BUILDS GRAPHIC CARD,,Graphics Card,0,15,2.1,0,0,0,0,CP-03-27,GT 520,Card,TRUE,FALSE,FALSE,EVGA,GEFORCE GT 520,01G-P3-1526-KR,,,,,,,,,1GB,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0
CTK 309818744,EVGA GEFORCE 8800 GTS 640-P2-N821-AR DUAL DVI S-VIDEO 640MB GRAPHIC CARD,,Graphics Card,0,39.99,0,0,0,0,0,"CP-03-14(0),CP-03-11(1)",,Card,TRUE,FALSE,FALSE,EVGA,GEFORCE 8800 GTS,640-P2-N821-AR,,,,,,,,,640MB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309829544,AJA KONA-LHE+R0-S02 DMS-59 X3 SDI Other,,Capture Card,0,59.99,0,0,0,0,0,,,Card,TRUE,FALSE,FALSE,AJA,,KONA-LHE+R0-S02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309839844,DELL PERC H710P 1GB XDHXT HIGH PROFILE DUAL INTERNAL SAS 6GBPS 1GB BUILDS RAID CARD,,Raid Card,8,200,0,0,0,0,1,BUILD BOX 07,H710,Card,TRUE,FALSE,FALSE,DELL,,XDHXT,,,,,,,,6GBPS,1GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 3098410244,JATON GEFORCE 210 VIDEO-PX210-LX LOW PROFILE VGA DISPLAY PORT DVI 512MB GRAPHIC CARD,,Graphics Card,0,17.99,0,0,0,0,0,,Geforce 210,Card,TRUE,FALSE,FALSE,JATON,GEFORCE 210,VIDEO-PX210-LX,,,,,,,,,512MB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 3098510444,APPLE GEFORCE GT120 630-9643 DVI THURNDERBOLT 512MB GRAPHIC CARD,,Graphics Card,0,34.99,0,0,0,0,0,,630,Card,TRUE,FALSE,FALSE,APPLE,GEFORCE GT120,630-9643,,,,,,,,,512MB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 3098610744,APPLE GEFORCE 7300GT 630-8946 DUAL DVI 256MB GRAPHIC CARD,,Graphics Card,0,25,0,0,0,0,0,CP-02-15(1),630,Card,TRUE,FALSE,FALSE,APPLE,GEFORCE 7300GT,630-8946,,,,,,,,,256MB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 3098712244,ASUS GEFORCE 8400 GS SILENT/DI/512MD2 HIGH PROFILE DVI VGA HDMI 512MB BUILDS GRAPHIC CARD,,Graphics Card,0,0,0,0,0,0,0,,8400 GS,Card,TRUE,FALSE,FALSE,ASUS,,SILENT/DI/512MD2,,,,,,,,,512MB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 3098813944,HP QUADRO 3000M 686158-001 2GB GRAPHIC CARD,,Graphics Card,11,60,0,0,0,1,1,BOX 004,3000M,Card,TRUE,FALSE,FALSE,HP,,686158-001,,,,,,,,,2GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
CTK 3098914244,HP 650M 701535-001 20GBPS PCI/NIC CARD,,NIC Card,0,52,54,0,0,0,2,CP-02-26,701535-001,Card,TRUE,FALSE,FALSE,HP,,701535-001,,,,,,,,20GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 3099014444,HP NVIDIA GRID K2 732635-001 8GB GRAPHIC CARD,,Graphics Card,0,350,0,0,0,0,0,CP-01-19,NVIDIA GRID K2,Card,TRUE,FALSE,FALSE,HP,,732635-001,,,,,,,,,8GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
CTK 309917144,PNY QUADRO K4000 VCQK4000-T DVI DUAL DISPLAY PORT 3GB BUILDS 30 GRAPHIC CARD,,Graphics Card,0,130,50.98,0,0,0,0,BUILD BOX 06(0),K4000,Card,TRUE,FALSE,FALSE,PNY,QUADRO K4000,VCQK4000-T,,,,,,,,,3GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
CTK 309926844,DELL LPE12002-E X803K HIGH PROFILE 0 OF 2 SFP'S 0 OF 2 SFP'S 8GBPS PCI/NIC CARD,,NIC Card,0,15,0,0,0,0,0,WS Box 57,LPE12002,Card,TRUE,FALSE,FALSE,DELL,,X803K,,0 OF 2 SFP'S,,,,,,8GBPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
